cenario,tamanhoCluster,tipoTopologia,mininet,tamanhoTopologia,memoria,processos
5,4,DCell,MN,4,163229696,176
4,2,DCell,MC,12,459327700,1107
5,4,DCell,MN,4,164741120,176
7,4,DCell,MN,12,231706942,1590
2,2,DCell,MC,4,72172328,115
3,2,DCell,MN,12,250769586,1113
6,4,DCell,MC,4,88928256,164
8,4,DCell,MC,12,500079168,1578
1,2,DCell,MN,4,131188434,121
2,2,DCell,MC,4,68548971,115
1,2,DCell,MN,4,133718197,121
6,4,DCell,MC,4,92504064,164
6,4,DCell,MC,4,94945280,164
1,2,DCell,MN,4,126717957,121
3,2,DCell,MN,12,163615680,1113
4,2,DCell,MC,12,438396832,1107
8,4,DCell,MC,12,493258240,1578
6,4,DCell,MC,4,96735232,164
4,2,DCell,MC,12,435835569,1107
4,2,DCell,MC,12,443211872,1107
6,4,DCell,MC,4,87433216,164
8,4,DCell,MC,12,505182912,1578
8,4,DCell,MC,12,512968832,1578
3,2,DCell,MN,12,207665264,1113
7,4,DCell,MN,12,189534928,1590
5,4,DCell,MN,4,160116736,176
1,2,DCell,MN,4,128960230,121
1,2,DCell,MN,4,123195270,121
1,2,DCell,MN,4,127985063,121
8,4,DCell,MC,12,536142764,1578
2,2,DCell,MC,4,72770196,115
7,4,DCell,MN,12,229884904,1590
8,4,DCell,MC,12,528671712,1578
7,4,DCell,MN,12,249855520,1590
7,4,DCell,MN,12,212564352,1590
2,2,DCell,MC,4,73001483,115
3,2,DCell,MN,12,274431002,1113
3,2,DCell,MN,12,170238076,1113
4,2,DCell,MC,12,431159060,1107
2,2,DCell,MC,4,74776504,115
7,4,DCell,MN,12,243058944,1590
5,4,DCell,MN,4,158306304,176
1,2,DCell,MN,4,131477300,121
3,2,DCell,MN,12,168811479,1113
8,4,DCell,MC,12,511870784,1578
4,2,DCell,MC,12,436518696,1107
3,2,DCell,MN,12,252921917,1113
1,2,DCell,MN,4,100332975,121
7,4,DCell,MN,12,239311776,1590
6,4,DCell,MC,4,90562560,164
2,2,DCell,MC,4,73539642,115
5,4,DCell,MN,4,156753920,176
7,4,DCell,MN,12,173433440,1590
3,2,DCell,MN,12,257423601,1113
6,4,DCell,MC,4,88256512,164
2,2,DCell,MC,4,66205195,115
6,4,DCell,MC,4,85807104,164
4,2,DCell,MC,12,436140083,1107
5,4,DCell,MN,4,156823552,176
5,4,DCell,MN,4,131248128,176
2,2,DCell,MC,4,73711675,115
7,4,DCell,MN,12,220593328,1590
5,4,DCell,MN,4,157847552,176
7,4,DCell,MN,12,199327072,1590
3,2,DCell,MN,12,280725676,1113
5,4,DCell,MN,4,162455552,176
8,4,DCell,MC,12,544733296,1578
4,2,DCell,MC,12,433905394,1107
3,2,DCell,MN,12,177030148,1113
8,4,DCell,MC,12,538283502,1578
6,4,DCell,MC,4,92217344,164
8,4,DCell,MC,12,490144944,1578
1,2,DCell,MN,4,125330469,121
5,4,DCell,MN,4,161746944,176
4,2,DCell,MC,12,435407984,1107
6,4,DCell,MC,4,86695936,164
4,2,DCell,MC,12,447378704,1107
2,2,DCell,MC,4,69035846,115
1,2,DCell,MN,4,125752443,121
2,2,DCell,MC,4,71214690,115
