cenario,tamanhoCluster,tipoTopologia,mininet,tamanhoTopologia,memoria,processos
6,4,FatTree,MC,4,107380784,232
3,2,FatTree,MN,12,724907588,3013
4,2,FatTree,MC,12,1249066624,3007
6,4,FatTree,MC,4,108793568,232
6,4,FatTree,MC,4,110078400,232
4,2,FatTree,MC,12,1232220928,3007
5,4,FatTree,MN,4,198439395,244
7,4,FatTree,MN,12,442814368,4540
5,4,FatTree,MN,4,198012640,244
1,2,FatTree,MN,4,131884583,165
7,4,FatTree,MN,12,456728960,4540
2,2,FatTree,MC,4,58431307,159
1,2,FatTree,MN,4,138880967,165
6,4,FatTree,MC,4,104666208,232
6,4,FatTree,MC,4,98813636,232
8,4,FatTree,MC,12,1383355520,4528
1,2,FatTree,MN,4,126031677,165
7,4,FatTree,MN,12,587985616,4540
1,2,FatTree,MN,4,93714694,165
5,4,FatTree,MN,4,132387512,244
1,2,FatTree,MN,4,100292806,165
2,2,FatTree,MC,4,52623310,159
3,2,FatTree,MN,12,667622426,3013
7,4,FatTree,MN,12,622660864,4540
2,2,FatTree,MC,4,49511655,159
3,2,FatTree,MN,12,777064450,3013
8,4,FatTree,MC,12,1482504742,4528
6,4,FatTree,MC,4,111521665,232
7,4,FatTree,MN,12,585806336,4540
3,2,FatTree,MN,12,668235856,3013
7,4,FatTree,MN,12,434957296,4540
3,2,FatTree,MN,12,692059200,3013
2,2,FatTree,MC,4,54282899,159
4,2,FatTree,MC,12,1222655846,3007
4,2,FatTree,MC,12,1211013376,3007
8,4,FatTree,MC,12,1469448000,4528
3,2,FatTree,MN,12,663292608,3013
3,2,FatTree,MN,12,693294976,3013
5,4,FatTree,MN,4,168453328,244
5,4,FatTree,MN,4,170429280,244
1,2,FatTree,MN,4,99378859,165
3,2,FatTree,MN,12,691014400,3013
1,2,FatTree,MN,4,95275031,165
4,2,FatTree,MC,12,1225441385,3007
8,4,FatTree,MC,12,1494280224,4528
3,2,FatTree,MN,12,721851526,3013
6,4,FatTree,MC,4,107113760,232
5,4,FatTree,MN,4,135637038,244
4,2,FatTree,MC,12,1219470345,3007
6,4,FatTree,MC,4,107644080,232
8,4,FatTree,MC,12,1348730776,4528
6,4,FatTree,MC,4,105289440,232
1,2,FatTree,MN,4,127920009,165
2,2,FatTree,MC,4,50993401,159
2,2,FatTree,MC,4,63117731,159
4,2,FatTree,MC,12,1226036924,3007
2,2,FatTree,MC,4,55052180,159
5,4,FatTree,MN,4,170161360,244
8,4,FatTree,MC,12,1416058528,4528
7,4,FatTree,MN,12,356622048,4540
2,2,FatTree,MC,4,63473688,159
7,4,FatTree,MN,12,441172280,4540
8,4,FatTree,MC,12,1405386400,4528
4,2,FatTree,MC,12,1247734328,3007
8,4,FatTree,MC,12,1445364576,4528
4,2,FatTree,MC,12,1223733195,3007
5,4,FatTree,MN,4,136749848,244
2,2,FatTree,MC,4,51714625,159
8,4,FatTree,MC,12,1443604016,4528
5,4,FatTree,MN,4,139533968,244
3,2,FatTree,MN,12,716394320,3013
6,4,FatTree,MC,4,108102798,232
1,2,FatTree,MN,4,236751237,165
1,2,FatTree,MN,4,131708509,165
2,2,FatTree,MC,4,54880585,159
5,4,FatTree,MN,4,162757088,244
8,4,FatTree,MC,12,1433953456,4528
7,4,FatTree,MN,12,409785184,4540
7,4,FatTree,MN,12,532733512,4540
4,2,FatTree,MC,12,1211148864,3007
