instâncias,Memória
serviço,Mininet
1,Mininet
1,Mininet
1,Mininet
1,Mininet
1,Mininet
1,Mininet
1,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
100,Mininet
serviço,LXC
1,LXC
1,LXC
1,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
100,LXC
serviço,LXD
serviço,LXD
serviço,LXD
serviço,LXD
serviço,LXD
serviço,LXD
serviço,LXD
serviço,LXD
