RemoteSSHLink,[2, 1]
0.0182120800018,local,Create Mininet Topology
0.0192189216614,local,Create local cell switches
0.912948131561,remote,Create remote cell switches
0.0219130516052,local,Create local hosts
1.09736609459,remote,Create remote hosts
0.0081570148468,local,Link hosts to cell switches
0.0303258895874,remote,Link hosts to cell switches
5.28592300415,local_remote,Link host to host
RemoteGRELink,[2, 1]
0.0133340358734,local,Create Mininet Topology
0.0120828151703,local,Create local cell switches
0.567916154861,remote,Create remote cell switches
0.0240159034729,local,Create local hosts
1.10293507576,remote,Create remote hosts
0.0181279182434,local,Link hosts to cell switches
0.0272071361542,remote,Link hosts to cell switches
10.5905170441,local_remote,Link host to host
